Название (реестр АРРФР);БИН;Категория;Полное название (гос. регистр);Юридический адрес;Руководитель;Примечание
"ТОО ""В2 Ломбард""";160540005703;Ломбард;"ТОО ""MSN MEDIA""";Г.АСТАНА, РАЙОН АЛМАТЫ, Жилой массив Юго-Восток (правая сторона), улица Сарқан, дом 19;НУРЛАНОВ СУЛТАН НУРЖАНҰЛЫ;
"ТОО ""Кредитное Товарищество ""Буланды""";070140003129;МФО;"ТОО ""КРЕДИТНОЕ ТОВАРИЩЕСТВО ""БУЛАНДЫ""";АКМОЛИНСКАЯ ОБЛАСТЬ, БУЛАНДЫНСКИЙ РАЙОН, Г.МАКИНСК, улица Сакена Сейфуллина, дом 18Б;ТЛЕУКЕНОВ ЖАНАТ СЕРИКОВИЧ;
"ТОО ""Кредитное Товарищество ""Акколь""";040840001445;МФО;"ТОО ""КРЕДИТНОЕ ТОВАРИЩЕСТВО ""АККОЛЬ""";АКМОЛИНСКАЯ ОБЛАСТЬ, АККОЛЬСКИЙ РАЙОН, АККОЛЬСКАЯ Г.А., Г.АККОЛЬ, улица Талгата Бигельдинова, дом 1/2;ОРАЗБАЕВ РУСТАМ АМАНГЕЛЬДИНОВИЧ;
"ТОО ""Кредитное Товарищество ""Аршалы""";050440002851;МФО;"ТОО ""КРЕДИТНОЕ ТОВАРИЩЕСТВО ""АРШАЛЫ""";АКМОЛИНСКАЯ ОБЛАСТЬ, АРШАЛЫНСКИЙ РАЙОН, АРШАЛЫНСКАЯ П.А., П.АРШАЛЫ, улица Жумабека Ташенова, строение 56/1;АХМЕТЖАНОВ КАРЖУБАЙ КОЖМУХАНОВИЧ;
"ТОО ""Ломбард Первый плюс""";200440003644;Ломбард;"ТОО ""ЛОМБАРД ПЕРВЫЙ ПЛЮС""";АКМОЛИНСКАЯ ОБЛАСТЬ, КОКШЕТАУ Г.А., Г.КОКШЕТАУ, улица Акана Серэ, дом 92;ДАНИКЕР РОМАН ВЯЧЕСЛАВОВИЧ;
"ТОО ""Кредитное товарищество ""Байтерек- СКО""";050540002270;Кредитное товарищество;"ТОО ""КРЕДИТНОЕ ТОВАРИЩЕСТВО ""БАЙТЕРЕК-СКО""";СЕВЕРО-КАЗАХСТАНСКАЯ ОБЛАСТЬ, РАЙОН МАГЖАНА ЖУМАБАЕВА, БУЛАЕВСКАЯ Г.А., Г.БУЛАЕВО, улица Целинная, дом 1А;ЖУМАШЕВ БОЛАТХАН ЖАКСЫЛЫКОВИЧ;
"ТОО ""Кредитное товарищество ""Кызылту-Несие""";070340002871;Кредитное товарищество;"ТОО ""КРЕДИТНОЕ ТОВАРИЩЕСТВО ""КЫЗЫЛТУ-НЕСИЕ""";СЕВЕРО-КАЗАХСТАНСКАЯ ОБЛАСТЬ, УАЛИХАНОВСКИЙ РАЙОН, КИШКЕНЕКОЛЬСКИЙ С.О., С.КИШКЕНЕКОЛЬ, улица Ш.Уалиханова, здание 85;БЕКБАЕВА САУЛЕ ГАБДЕШЕВНА;
"ТОО ""Кредитное товарищество ""Жамбыл Агро Инвест""";060840002530;Кредитное товарищество;"ТОО ""КРЕДИТНОЕ ТОВАРИЩЕСТВО ""ЖАМБЫЛ АГРО ИНВЕСТ""";СЕВЕРО-КАЗАХСТАНСКАЯ ОБЛАСТЬ, ЖАМБЫЛСКИЙ РАЙОН, ПРЕСНОВСКИЙ С.О., С.ПРЕСНОВКА, улица Дружбы, дом 5;МАПЕНОВ НУРБОЛАТ САДЫКОВИЧ;
"ТОО ""Кредитное товарищество ""Шалкар""";050240002219;Кредитное товарищество;"ТОО ""КРЕДИТНОЕ ТОВАРИЩЕСТВО ""ШАЛКАР""";СЕВЕРО-КАЗАХСТАНСКАЯ ОБЛАСТЬ, АЙЫРТАУСКИЙ РАЙОН, ВОЛОДАРСКИЙ С.О., С.САУМАЛКОЛЬ, улица Мкр, строение 46А;БАЙГАРИН АЛМАС МАНАСОВИЧ;
"ТОО ""Кредитное товарищество ""Аккайын""";050340002858;Кредитное товарищество;"ТОО ""КРЕДИТНОЕ ТОВАРИЩЕСТВО ""АҚҚАЙЫҢ""";СЕВЕРО-КАЗАХСТАНСКАЯ ОБЛАСТЬ, АККАЙЫНСКИЙ РАЙОН, СМИРНОВСКИЙ С.О., С.СМИРНОВО, улица Пушкина, дом 58;ЛОСИНСКИЙ ВАДИМ АЛЕКСАНДРОВИЧ;
"ТОО ""Кредитное товарищество ""Альянс Кредит""";050540002220;Кредитное товарищество;"ТОО ""КРЕДИТНОЕ ТОВАРИЩЕСТВО ""АЛЬЯНС-КРЕДИТ""";СЕВЕРО-КАЗАХСТАНСКАЯ ОБЛАСТЬ, РАЙОН ШАЛ АКЫНА, СЕРГЕЕВСКАЯ Г.А., Г.СЕРГЕЕВКА, улица Желтоксан, строение 13;НУРПЕИСОВ ТУЛЕГЕН КОНСБАЕВИЧ;
"ТОО ""Кредитное товарищество ""Достык""";040640002193;Кредитное товарищество;"ТОО ""КРЕДИТНОЕ ТОВАРИЩЕСТВО ""ДОСТЫК""";СЕВЕРО-КАЗАХСТАНСКАЯ ОБЛАСТЬ, ЕСИЛЬСКИЙ РАЙОН, ЯВЛЕНСКИЙ С.О., С.ЯВЛЕНКА, улица Жалела Кизатова, дом 87;ОМУРЗАКОВ КУРМАНБАЙ;
"ТОО Кредитное товарищество ""Алтын Комек""";031240001111;Кредитное товарищество;"ТОО ""КРЕДИТНОЕ ТОВАРИЩЕСТВО ""АЛТЫН КОМЕК""";КОСТАНАЙСКАЯ ОБЛАСТЬ, КОСТАНАЙ Г.А., Г.КОСТАНАЙ, Проспект Аль-Фараби, дом 65;СЕРИКБАЕВ ГАЛИМЖАН МУХАМЕДКАЛИЕВИЧ;
"ТОО ""Микрофинансовая организация ""Мега Кредит""";180640014889;МФО;"ТОО ""МФО МЕГА КРЕДИТ""";ЗАПАДНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ, УРАЛЬСК Г.А., Г.УРАЛЬСК, Микрорайон Строитель, дом 30, н.п. 1п;НУРМАШЕВ ТИМУР УРАКОВИЧ;
"ТОО ""ГАРАНТИЯ ОТДАЧИ СРЕДСТВ ЛОМБАРД""";110240016312;МФО;"ТОО ""ГАРАНТИЯ ОТДАЧИ СРЕДСТВ ЛОМБАРД""";Г.АСТАНА, РАЙОН БАЙҚОҢЫР, улица Кенесары, дом 42, ВП 28;БОСАК БОГДАН ВЛАДИСЛАВОВИЧ;
"ТОО ""Ломбард White ТМ""";181040014999;Ломбард;"ТОО ""ЛОМБАРД WHITE ТМ""";Г.АЛМАТЫ, АЛМАЛИНСКИЙ РАЙОН, улица Байтурсынулы, дом 78Б, кв. 18;САБИТОВ ДИМАШ МУРАТОВИЧ;
"ТОО ""Микрофинансовая организация ""Credital""";130940021695;МФО;"ТОО ""МФО ""CREDITAL""";ЗАПАДНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ, УРАЛЬСК Г.А., Г.УРАЛЬСК, улица К.Аманжолов, строение 81;КАСИМОВ НУРТАЙ СЕРИКБАЕВИЧ;
"ТОО ""Микрофинансовая организация ""Absolut Finance""";190540015240;МФО;"ТОО ""МИКРОФИНАНСОВАЯ ОРГАНИЗАЦИЯ ""ABSOLUT FINANCE""";Г.АЛМАТЫ, АЛМАЛИНСКИЙ РАЙОН, улица Жарокова, дом 39, н.п. 121;АБДРАИМОВ БАХТИЯР АЛМАБЕКОВИЧ;
"Товарищество с ограниченной ответственностью ""Ломбард Мардан Голд""";170340014608;Ломбард;"ТОО ""ЛОМБАРД МАРДАН ГОЛД""";Г.ШЫМКЕНТ, КАРАТАУСКИЙ РАЙОН, Микрорайон Нурсат, дом 160;ТАСТЫБАЕВ АЙДОС ТАСТЫБАЙҰЛЫ;
"Товарищество с ограниченной ответственностью ""Ломбард Олимпик""";140540002488;Ломбард;"ТОО ""ЛОМБАРД ОЛИМПИК""";Г.ШЫМКЕНТ, АЛЬ-ФАРАБИЙСКИЙ РАЙОН, УЛИЦА АХМЕТ БАЙТУРСЫНОВ ДОМ,17А, КВ 3;НАРБАЕВ ЗИЯТ КАДИРБАЕВИЧ;
"ТОО ""ломбард Синдбад1""";170640007150;Ломбард;"ТОО ""ЛОМБАРД СИНДБАД1""";АЛМАТИНСКАЯ ОБЛАСТЬ, КАРАСАЙСКИЙ РАЙОН, КАСКЕЛЕНСКАЯ Г.А., Г.КАСКЕЛЕН, улица Абылай Хан, строение 90;ЧЕБОНЕНКО ОЛЬГА ОЛЕГОВНА;
"ТОО ""Ниет-Ломбард""";091040013753;Ломбард;"ТОО ""НИЕТ-ЛОМБАРД""";АЛМАТИНСКАЯ ОБЛАСТЬ, КАРАСАЙСКИЙ РАЙОН, РАЙЫМБЕКСКИЙ С.О., С.АБАЙ, Садоводческое товарищество Аксай 2 ПтицеПром, дом 38;АРХАБАЕВА АСЕМ АРХАБАЕВНА;
"ТОО ""Кредитное товарищество ""Еңбекші-Несие""";160740009022;Кредитное товарищество;"ТОО ""КРЕДИТНОЕ ТОВАРИЩЕСТВО ""ЕҢБЕКШІ-НЕСИЕ""";АЛМАТИНСКАЯ ОБЛАСТЬ, ЕНБЕКШИКАЗАХСКИЙ РАЙОН, ШЕЛЕКСКИЙ С.О., С.ШЕЛЕК, улица Орынтаева, строение 69;КУРБАНОВ ШУХРАТ АБДУЗАИРОВИЧ;
"ТОО ""Микрофинансовая организация ""Аксай""";160440017049;МФО;"ТОО ""МФО АКСАЙ""";ЗАПАДНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ, БУРЛИНСКИЙ РАЙОН, АКСАЙСКАЯ Г.А., Г.АКСАЙ, УЛИЦА ДРУЖБА НАРОДОВ, 4/2;МАМБЕТЬЯРОВ ТЛЕК БАХЫТЖАНОВИЧ;
"ТОО ""Ломбард Мастер Ювелир""";180840012790;Ломбард;"ТОО ""ЛОМБАРД ""МАСТЕР - ЮВЕЛИР""";ВОСТОЧНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ, УСТЬ-КАМЕНОГОРСК Г.А., Г.УСТЬ-КАМЕНОГОРСК, улица Протозанова, дом 113;ЛИТВИНЕНКО ГАЛИНА АЛЕКСАНДРОВНА;
"ТОО ""Микрофинансовая&nbsp;организация&nbsp;A-Plus""";160240008003;МФО;"ТОО ""МИКРОФИНАНСОВАЯ ОРГАНИЗАЦИЯ A-PLUS""";АЛМАТИНСКАЯ ОБЛАСТЬ, ҚОНАЕВ Г.А., Г.ҚОНАЕВ, Микрорайон 2, строение 19, н.п. 1;ТУРСЫНБАЕВА ГАЙША СОВЕТОВНА;
"Товарищество с ограниченной ответственностью ""Кредитное товарищество ""Актобе Несие""";080440020776;Кредитное товарищество;"ТОО ""КРЕДИТНОЕ ТОВАРИЩЕСТВО ""АКТОБЕ НЕСИЕ""";АКТЮБИНСКАЯ ОБЛАСТЬ, АКТОБЕ Г.А., Г.АКТОБЕ, РАЙОН АСТАНА , улица Марата Оспанова, дом 52, кв. 3;ӨТЕН ХАМИТ ҚОПАШҰЛЫ;
"ТОО ""Первый Автомобильный Ломбард""";170640027948;Ломбард;"ТОО ""ПЕРВЫЙ АВТОМОБИЛЬНЫЙ ЛОМБАРД""";Г.АСТАНА, РАЙОН САРЫАРКА, улица Григорий Потанин, здание 9;ОМУРЗАКОВ БЕКЗАТ ТЮЛЮБЕКОВИЧ;
"ТОО ""Ломбард Занал""";180840019517;Ломбард;"ТОО ""ЛОМБАРД ЗАНАЛ""";АЛМАТИНСКАЯ ОБЛАСТЬ, КАРАСАЙСКИЙ РАЙОН, КАСКЕЛЕНСКАЯ Г.А., Г.КАСКЕЛЕН, улица Жаңажол, дом 12А;ЖАДЫРА ГУЛЖАН АЛИБЕККЫЗЫ;
"ТОО ""Евро-Ломбард №1""";160740024370;Ломбард;"ТОО ""ЕВРО-ЛОМБАРД № 1""";Г.АСТАНА, РАЙОН ЕСИЛЬ, улица Керей, Жәнібек хандар, дом 9;БАГИСБЕКОВА ЖАНАР МАЛИКОВНА;
"ТОО ""ЖанТаС ломбард""";131040020657;Ломбард;"ТОО ""ЖАНТАС ЛОМБАРД""";Г.АСТАНА, РАЙОН САРЫАРКА, Проспект Бөгенбай Батыр, дом 53;УМАРБАЕВ ДАМИР ТЕМЕРГАЛИЕВИЧ;
"ТОО ""Ломбард Белый ТМ""";180540033326;Ломбард;"ТОО ""ЛОМБАРД БЕЛЫЙ TM""";Г.АЛМАТЫ, АЛМАЛИНСКИЙ РАЙОН, Проспект Абылай хана, дом 27, н.п. 38;ЕСКЕЛДИЕВ ДАСТАН САМАТОВИЧ;
"ТОО ""Ломбард ""Нұр-А""";101240010552;Ломбард;"ТОО ""AI ЛОМБАРД""";Г.АСТАНА, РАЙОН АЛМАТЫ, Проспект Абылай хана, дом 24, кв. 15;ИСПУСИНОВА ГУЛЬНАРА САГИНГАЛИЕВНА;
"ТОО ""Ломбард ""Доверие""";171140033987;Ломбард;"ТОО ""ЛОМБАРД ""ДОВЕРИЕ""";Г.АСТАНА, РАЙОН САРЫАРКА, улица Шоқан Уәлиханов, дом 27, кв. 37;ШАЯХМЕТОВ РУСТАМ МУРАТОВИЧ;
"Товарищество с ограниченной ответственностью ""Ломбард ""Адамас""";100540013357;Ломбард;"ТОО ""ЛОМБАРД ""АДАМАС""";ЖАМБЫЛСКАЯ ОБЛАСТЬ, ТАРАЗ Г.А., Г.ТАРАЗ, РАЙОН ӘУЛИЕАТА, УЛИЦА КАЗЫБЕК БИ ДОМ 49 КВ 32;СЕДОВА МАРИНА ВЛАДИМИРОВНА;
"Товарищество с ограниченной ответственностью ""Ломбард Сапа""";081040015738;Ломбард;"ТОО ""ЛОМБАРД ""САПА""";ЖАМБЫЛСКАЯ ОБЛАСТЬ, ТАРАЗ Г.А., Г.ТАРАЗ, РАЙОН ӘУЛИЕАТА, Микрорайон Жайлау, дом 14, кв. 22;ТОХТИЕВ АЗИЗ АНВАРОВИЧ;
"ТОО ""Ломбард Али-Голд""";151140012801;Ломбард;ТОО ЛОМБАРД АЛИ-ГОЛД;ЖАМБЫЛСКАЯ ОБЛАСТЬ, БАЙЗАКСКИЙ РАЙОН, САРЫКЕМЕРСКИЙ С.О., С.САРЫКЕМЕР, улица К.Орынкулов, строение 17А;АБДУЛЛАЕВА ЖАНАР НУРЛАНОВНА;
"ТОО ""К-Автоломбард""";190140001296;Ломбард;"ТОО ""К-АВТОЛОМБАРД""";Г.АСТАНА, РАЙОН ЕСИЛЬ, Проспект Қабанбай Батыр, дом 20, н.п. 2;ХАМИТОВА ГУЛЬНАР ХАМЗЕНОВНА;
"Товарищество с ограниченной ответственностью ""Инвест микро ломбард""";170140005621;Ломбард;"ТОО ""ИНВЕСТ МИКРО ЛОМБАРД""";АКТЮБИНСКАЯ ОБЛАСТЬ, АКТОБЕ Г.А., Г.АКТОБЕ, РАЙОН АСТАНА , улица Марата Оспанова, дом 67;ЖУМАГАЛИЕВ НУРИСЛАН НАСИБУЛЛАЕВИЧ;
ТОО «Партнер ЛОМБАРД»;180540004302;МФО;"ТОО ""ПАРТНЁР ЛОМБАРД""";КАРАГАНДИНСКАЯ ОБЛАСТЬ, ТЕМИРТАУ Г.А., Г.ТЕМИРТАУ, Микрорайон 6, строение 24А;КРАВЦОВА ВИКТОРИЯ ВИКТОРОВНА;
"ТОО Ломбард ""BERKUT GOLD""";170440034031;Ломбард;"ТОО ЛОМБАРД ""BERKUT GOLD""";ПАВЛОДАРСКАЯ ОБЛАСТЬ, ЭКИБАСТУЗ Г.А., Г.ЭКИБАСТУЗ, улица Әлия Молдағұлова, дом 47/5, кв. 11;ЗОЦЬ ЕКАТЕРИНА ВИКТОРОВНА;
"ТОО ""Ломбард Паритет ПВ""";140440018163;Ломбард;"ТОО ""ЛОМБАРД ПАРИТЕТ ПВ""";ПАВЛОДАРСКАЯ ОБЛАСТЬ, ПАВЛОДАР Г.А., Г.ПАВЛОДАР, улица Астана, строение 279/3;КАБДУАЛИЕВА ЛЯЗЗАТ СЕРИКОВНА;
"ТОО ""Алтын-Ломбард компани""";081040007668;Ломбард;"ТОО ""АЛТЫН-ЛОМБАРД КОМПАНИ""";ПАВЛОДАРСКАЯ ОБЛАСТЬ, ЭКИБАСТУЗ Г.А., Г.ЭКИБАСТУЗ, улица Естая Беркимбаева, дом 173/2;ЕРЖАНОВА ЖАННА ДАУЛЕТОВНА;
"ТОО ""Альманах Ломбард""";090440007126;Ломбард;"ТОО ""АЛЬМАНАХ ЛОМБАРД""";ПАВЛОДАРСКАЯ ОБЛАСТЬ, ПАВЛОДАР Г.А., Г.ПАВЛОДАР, Проспект Нұрсұлтан Назарбаев, дом 89;ЛАРИНА АНАСТАСИЯ АЛЕКСЕЕВНА;
"ТОО ""Ломбард Алан""";110540009777;Ломбард;"ТОО ""ЛОМБАРД АЛАН""";ПАВЛОДАРСКАЯ ОБЛАСТЬ, ПАВЛОДАР Г.А., Г.ПАВЛОДАР, улица Академика Маргулана, дом 344;ОСПАНОВА АЙМАН ЖАКСЫБЕКОВНА;
"ТОО ""Ломбард Макс-М""";030440009706;Ломбард;"ТОО ""ЛОМБАРД ""МАКС-М""";ОБЛАСТЬ ҰЛЫТАУ, ЖЕЗКАЗГАН Г.А., Г.ЖЕЗКАЗГАН, УЛИЦА САКЕНА СЕЙФУЛЛИНА, 50;МАГЗУМОВ МЕЙРАМ НУРЛАНОВИЧ;
"ТОО ""Анет Ломбард""";140740002445;Ломбард;"ТОО ""АНЕТ ЛОМБАРД""";Г.АСТАНА, РАЙОН НҰРА, Проспект Қабанбай Батыр, дом 43А, кв. 1010;НУРБАЕВ КАМБАРБЕК НУРМАНОВИЧ;
"ТОО ""МФО ОБОРОТКА.КЗ""";170240004429;МФО;"ТОО ""МФО ОБОРОТКА.КЗ""";Г.АЛМАТЫ, БОСТАНДЫКСКИЙ РАЙОН, УЛИЦА ХОДЖАНОВА, 92, кв 42;САТЫБАЛДИЕВА ЖАНАР КАПАЛБАЕВНА;
"ТОО ""АКТИВ ЛОМБАРД""";110840013121;МФО;"ТОО ""АКТИВ ЛОМБАРД""";Г.АСТАНА, РАЙОН ЕСИЛЬ, Проспект Қабанбай Батыр, дом 2/6;ШАГРАЕВА ИНДИРА БЕКМЫРЗАЕВНА;
"ТОО ""STATUS ЛОМБАРД""";110540002462;МФО;"ТОО ""STATUS ЛОМБАРД""";Г.АЛМАТЫ, АЛМАЛИНСКИЙ РАЙОН, улица Васнецова, дом 27/92;ИСРАИЛИ ЮРИЙ ПАШАЕВИЧ;
"ТОО ""Кредитное товарищество ""Бак-Даулет""";031140000635;Кредитное товарищество;"ТОО ""КРЕДИТНОЕ ТОВАРИЩЕСТВО ""БАК-ДАУЛЕТ""";АЛМАТИНСКАЯ ОБЛАСТЬ, ИЛИЙСКИЙ РАЙОН, С.О.ӨТЕГЕН БАТЫР, С.ОТЕГЕН БАТЫРА, улица Заманбек Батталханов, здание 17;ТӨҚТАҒУЛ МҰРАТ БАЗАРХАНҰЛЫ;
"ТОО ""Trillioner Lombard Company""";161040005351;МФО;"ТОО ""TRILLIONER LOMBARD COMPANY""";Г.АЛМАТЫ, ЖЕТЫСУСКИЙ РАЙОН, Проспект Суюнбая, дом 2;КАКИЕВА ВЕНЕРА ҚАЙРАТҚЫЗЫ;
"ТОО ""YK ЛОМБАРД""";140240014193;МФО;"ТОО ""YK ЛОМБАРД""";Г.АЛМАТЫ, АУЭЗОВСКИЙ РАЙОН, Микрорайон Аксай-2, дом 10, н.п. 80;АЛЁШИН СЕРГЕЙ АЛЕКСЕЕВИЧ;
"ТОО ""Ломбард AZTEC""";100440013680;Ломбард;"ТОО ""ЛОМБАРД AZTEC""";ОБЛАСТЬ АБАЙ, СЕМЕЙ Г.А., Г.СЕМЕЙ, улица Пушкина, дом 100;МАШИКОВА ГУЛЬНАР СЛЯМБЕКОВНА;
"ТОО ""ELEX LOMBARD UK""";151240006484;МФО;"ТОО ""ELEX LOMBARD UK""";ЖАМБЫЛСКАЯ ОБЛАСТЬ, ШУСКИЙ РАЙОН, ШУСКАЯ Г.А., Г.ШУ, улица К Сатпаев, дом 267А;ИВАНОВ ДМИТРИЙ ДМИТРИЕВИЧ;
"ТОО ""Ломбард Апорт""";091040013713;Ломбард;"ТОО ""ЛОМБАРД АПОРТ""";ОБЛАСТЬ АБАЙ, СЕМЕЙ Г.А., Г.СЕМЕЙ, Проспект Мухтара Ауэзова, дом 37;ИСКАКОВ АРДАК АМАНГЕЛЬДЫЕВИЧ;
"ТОО ""Кредитное товарищество ""АбайАгро""";161040023270;Кредитное товарищество;"ТОО ""КРЕДИТНОЕ ТОВАРИЩЕСТВО ""АБАЙАГРО""";ОБЛАСТЬ АБАЙ, АБАЙСКИЙ РАЙОН, КАРААУЛЬСКИЙ С.О., С.КАРААУЛ, улица Абая, дом 68;РАЗКАНОВ ЖОМАРТ МАРАТОВИЧ;
"ТОО ""Кредитное товарищество ""Балсу-Финанс""";180340012287;Кредитное товарищество;"ТОО ""КРЕДИТНОЕ ТОВАРИЩЕСТВО ""БАЛСУ-ФИНАНС""";Г.АЛМАТЫ, АУЭЗОВСКИЙ РАЙОН, Микрорайон Жетысу-3, дом 1В;СУБАЛОВ АМИРЖАН АЙВАРУЛЫ;
"Товарищество с ограниченной ответственностью ""Микрофинансовая организация ""МиГ Кредит Астана""";080840006458;МФО;"ТОО ""МИКРОФИНАНСОВАЯ ОРГАНИЗАЦИЯ ""МИГ КРЕДИТ АСТАНА""";Г.АСТАНА, РАЙОН ЕСИЛЬ, улица Ақмешіт, дом 7А, н.п. 3;АДЫРАКОВ ЕРЖАН КАБЫКЕНОВИЧ;
"ТОО ""Микрофинансовая организация ""Робокэш.кз""";200940013491;МФО;"ТОО ""МИКРОФИНАНСОВАЯ ОРГАНИЗАЦИЯ ""РОБОКЭШ.КЗ""";Г.АЛМАТЫ, АЛМАЛИНСКИЙ РАЙОН, улица Монгольская, дом 44;КАСЕНБАЕВ АСЕТ ТАЛГАТОВИЧ;
"ТОО ""Pro-Lombard""";180240010396;МФО;"ТОО ""PRO-LOMBARD""";Г.АСТАНА, РАЙОН ЕСИЛЬ, Проспект Әл-Фараби, дом 17;ТЕН АЛЕКСАНДР СЕРГЕЕВИЧ;
"ТОО ""Адамант24-Ломбард""";170840013485;Ломбард;"ТОО ""АДАМАНТ24-ЛОМБАРД""";Г.АСТАНА, РАЙОН САРЫАРКА, улица Шабал Бейсековой, здание 3;ЖОРАЕВ АЙНАБЕК ОРЫМБЕКОВИЧ;
"ТОО ""Ломбард ""ДК Алтын Тага""";130140003291;Ломбард;"ТОО ""ЛОМБАРД ""ДК АЛТЫН ТАҒА""";ОБЛАСТЬ ЖЕТІСУ, ТАЛДЫКОРГАН Г.А., Г.ТАЛДЫКОРГАН, улица Казахстанская, дом 143, кв. 22;ДАУЛЕТЯРОВ КАЙРАТ БУТИНБАЕВИЧ;
"ТОО ""Ломбард ""Деньги населению""";141240005256;Ломбард;"ТОО ""ЛОМБАРД ""ДЕНЬГИ НАСЕЛЕНИЮ""";КОСТАНАЙСКАЯ ОБЛАСТЬ, КОСТАНАЙ Г.А., Г.КОСТАНАЙ, улица Амангельды, дом 46;ШЕБЕДА ДМИТРИЙ БОРИСОВИЧ;
"ТОО ""Бастау-Ломбард-А""";110840018737;Ломбард;"ТОО ""БАСТАУ-ЛОМБАРД-А""";ПАВЛОДАРСКАЯ ОБЛАСТЬ, ЭКИБАСТУЗ Г.А., Г.ЭКИБАСТУЗ, улица Мухтара Ауэзова, дом 77, кв. 46;КАРИМОВА РЫМКУЛ МАНАШОВНА;
"ТОО ""Микрофинансовая организация ""Казмикрокредит""";030640002042;МФО;"ТОО ""МИКРОФИНАНСОВАЯ ОРГАНИЗАЦИЯ ""КАЗМИКРОКРЕДИТ""";Г.АЛМАТЫ, АЛМАЛИНСКИЙ РАЙОН, улица Шевченко, дом 100;САГИНДЫКОВА МАЙКО ОРАЗЫМБЕТОВНА;
"ТОО ""Кредитное товарищество ""Жаркаин""";030640007806;Кредитное товарищество;"ТОО ""КРЕДИТНОЕ ТОВАРИЩЕСТВО ""ЖАРКАИН""";АКМОЛИНСКАЯ ОБЛАСТЬ, ЖАРКАИНСКИЙ РАЙОН, Г.ДЕРЖАВИНСК, улица Пушкина, дом 40;СМАИЛОВ ТИМУР МАКСУТОВИЧ;
"ТОО ""Кредитное товарищество ""Коргалжын""";080540000894;Кредитное товарищество;"ТОО ""КРЕДИТНОЕ ТОВАРИЩЕСТВО ""КОРГАЛЖЫН""";АКМОЛИНСКАЯ ОБЛАСТЬ, КОРГАЛЖЫНСКИЙ РАЙОН, КОРГАЛЖЫНСКИЙ С.О., С.КОРГАЛЖЫН, улица Хайретдина Болганбаева, здание 9;ШАЙМЕРДЕНОВА ЛАУРА СЕРИКОВНА;
"ТОО ""Кредитное Товарищество ""Самрук""";200240024451;МФО;"ТОО ""КРЕДИТНОЕ ТОВАРИЩЕСТВО ""САМРУК""";АКМОЛИНСКАЯ ОБЛАСТЬ, БУРАБАЙСКИЙ РАЙОН, ЩУЧИНСКАЯ Г.А., Г.ЩУЧИНСК, улица Ломоносова, дом 6;ДИЛЬДЕБАЕВ БАУРЖАН КАЙРАТОВИЧ;
"ТОО ""Кредитное товарищество ""Жаксы-Кийма""";050640002432;Кредитное товарищество;"ТОО ""КРЕДИТНОЕ ТОВАРИЩЕСТВО ""ЖАКСЫ-КИЙМА""";АКМОЛИНСКАЯ ОБЛАСТЬ, ЖАКСЫНСКИЙ РАЙОН, ЖАНАКИИМИНСКИЙ С.О., С.ЖАНА КИИМА, улица М.Маметовой, дом 8;БАЕШЕВ СЕРИКБОЛ КАЙНУЛЛОВИЧ;
"ТОО ""Аванс Ломбард""";100640008770;Ломбард;"ТОО ""АВАНС ЛОМБАРД""";Г.АЛМАТЫ, МЕДЕУСКИЙ РАЙОН, улица Макатаева, дом 33/2, кв. 31;КРИВЕНЯ НИКОЛАЙ НИКОЛАЕВИЧ;
"ТОО ""Контакт Ломбард""";180140028127;Ломбард;"ТОО ""КОНТАКТ ЛОМБАРД""";Г.АЛМАТЫ, АЛМАЛИНСКИЙ РАЙОН, улица Толе би, дом 259, н.п. 8;ЕРЖИЕНОВ ТАЛАНТ ЧАКРЖАНОВИЧ;
"ТОО ""МФО ""Life Credit""";180840013789;МФО;"ТОО МИКРОФИНАНСОВАЯ ОРГАНИЗАЦИЯ ""LIFE CREDIT""";Г.АЛМАТЫ, БОСТАНДЫКСКИЙ РАЙОН, Проспект Аль-Фараби, дом 17;КУЛУМБЕТОВ АРМАН СЕРИКОВИЧ;
"ТОО ""МФО ""Almaty""";190740027486;МФО;"ТОО ""МИКРОФИНАНСОВАЯ ОРГАНИЗАЦИЯ ""ALMATY""";Г.АЛМАТЫ, БОСТАНДЫКСКИЙ РАЙОН, улица Байзакова, дом 303;ТУРҒАНБАЕВ БЕРІК ТҰРҒАНБАЙҰЛЫ;
"ТОО ""Ломбард Молодой рубин""";171240027074;Ломбард;"ТОО ""ЛОМБАРД МОЛОДОЙ РУБИН""";АЛМАТИНСКАЯ ОБЛАСТЬ, КАРАСАЙСКИЙ РАЙОН, КАСКЕЛЕНСКАЯ Г.А., Г.КАСКЕЛЕН, улица ҚР Тәуелсіздігіне 10 жыл, дом 47;САРСЕНБАЕВА ГУЛЖАМИЛА ЖАКСЫБАЕВНА;
"ТОО ""МФО ""СиСиЛоун.кз""";151040016751;МФО;"ТОО ""МИКРОФИНАНСОВАЯ ОРГАНИЗАЦИЯ"" СИСИЛОУН.КЗ""";Г.АЛМАТЫ, АЛМАЛИНСКИЙ РАЙОН, улица Муратбаева, дом 180;ДЖАҚСЫБАЕВА ДАНА СМАИЛОВНА;
